TOC
0.79
0.5
0.52
0.37
0.47
0.42
1.9
1.7
1.5
1.13
0.81
0.86
1.14
1.4
0.7
0.1
0.3
2.1
0.2
1
0.4
0.1
0.6
0.2
0.1
0.4
0.1
0.4
0.3
1.4
1.4
0.8
1.3
1.3
0.9
1.2
0.7
0.3
0.6
0.4
0.4
0.5
0.4
0.2
0.2
0.4
0.5
0.4
0.6
1.9
0.9
1.1
1.9
1.6
2.1
1.5
0.8
0.5
1.3
1.7
1.4
1.886
1.5
1.6
2.5
1.5
1.8
1.6
2.8
1.8
3.1
3.8
4.1
4
4.1
4
2.4
3.3
2.3
3.2
