rf,lr,NR,XGB,LGBM,Cat,SGD,Kernel,EN,Bay,GBR,SVR,STR
0.434539264,0.70213436,0.41,0.410139,0.624978028,0.410082121,0.158282561,0.68363435,0.760664669,0.704884479,0.446088539,0.229649008,0.388571429
1.5802,0.34886269,1.1,0.097833,0.619431492,0.099626528,0.130535756,0.35294185,0.385683737,0.34210576,0.906180339,0.438675712,2.1
0.462,0.64654322,0.385,0.3701334,0.624978028,0.369997155,0.920435312,0.6055092,0.716572387,0.652988275,0.455969337,0.870268345,0.423333333
0.867283333,0.3382883,1.35,0.000398,0.624978028,0.999898851,0.763566561,0.32130792,0.375603612,0.333402988,0.924017009,0.932403429,0.783333333
0.416149524,0.52598001,1.1,0.3995727,0.624978028,0.400257075,0.765106435,0.43455023,0.59465732,0.527719129,0.41505544,0.023764879,0.388571429
0.34149,0.37558423,0.4,0.1025332,0.619431492,0.100187114,0.021244268,0.41369356,0.454053549,0.387435851,0.292897354,0.990342693,0.388571429
0.412503333,0.29239359,0.86,0.4193026,0.111512241,0.41995358,0.683769302,0.16926051,0.435190266,0.314812134,0.419124535,0.164386877,0.388571429
0.302253333,-0.07349575,0.95,0.2003745,0.111512241,0.200039468,0.550183669,-0.14776829,0.097230167,0.040410334,0.334825668,0.989092731,0.388571429
0.4567,0.35124991,1.1,0.10169624,0.117058777,0.100148171,0.096305364,0.32522759,0.347459453,0.328351409,0.313377933,0.51284272,0.2
0.493002121,0.16580441,0.9,0.4002796,0.619431492,0.400341883,0.875595369,0.23996381,0.17996071,0.157598117,0.458785341,0.900136364,0.388571429
0.3488,0.13417145,0.25,0.100452,0.619431492,0.100026365,0.074313868,0.26191833,0.157533829,0.121457508,0.198813207,0.399713395,0.2
0.5084,0.19371325,0.25,0.3994195,0.111512241,0.399808135,0.856408414,0.28969417,0.158910263,0.161206561,0.391106494,0.166793916,0.2
0.5514,0.22708095,0.6,0.6543891,0.619431492,0.802893525,0.941678408,0.3366392,0.256360427,0.227184101,0.539193299,0.764449062,0.7
1.11505,0.7736228,1.15,0.398066,0.919162765,0.399644991,0.144448116,0.78742327,0.84341289,0.784007151,0.26126413,0.782547354,1.4
0.775116407,0.79505871,0.4,0.02287,0.919162765,0.838996316,0.320086853,0.81216186,0.847315201,0.79823211,0.996703848,0.202479667,0.783333333
0.475979524,0.57732488,1.1,0.3051591,0.624978028,0.576223703,0.841854997,0.50464643,0.642106692,0.579197183,0.458745837,0.020506768,0.783333333
1.017116883,0.86206208,0.95,0.29878,0.919162765,0.299967294,0.383426736,0.91165199,0.922824503,0.871122232,0.186259793,0.937273777,0.783333333
0.92075,0.77263788,1.15,0.196521,0.919162765,0.943057152,0.129388213,0.78606262,0.843391615,0.783457797,0.876835202,0.745598789,0.423333333
0.815192857,0.76625884,0.8,0.899799,0.919162765,0.899903408,0.153318529,0.78046963,0.83957442,0.777710443,0.859099446,0.804951435,0.783333333
0.552410216,0.8912978,2.2,0.4997837,0.919162765,0.546340705,0.403968877,0.9615189,0.965203186,0.906785164,0.395832219,0.700548666,0.388571429
0.710879524,0.76657738,0.8,0.7008418,0.919162765,0.700311784,0.155590044,0.78084079,0.839660028,0.777934956,0.749443894,0.810501949,0.783333333
0.368406407,0.77036331,0.35,0.2999686,0.919162765,0.30064033,0.198758498,0.7856808,0.840187685,0.780311913,0.437507775,0.915401053,0.388571429
0.536395455,0.76474869,2.35,0.599055,0.919162765,0.59950198,0.230518551,0.78104156,0.836503879,0.775060468,0.512811502,0.992507283,0.388571429
0.487079524,0.70758718,0.4,0.3997264,0.624978028,0.399972641,0.046091085,0.6916709,0.774595292,0.714644112,0.510645644,0.900186413,0.783333333
0.7471,0.6876328,0.4,0.401678,0.624978028,0.400363166,0.994985731,0.66255199,0.754977766,0.69428418,0.565180204,0.875486024,0.423333333
0.450537619,0.78170802,0.45,0.4988086,0.919162765,0.499559249,0.206580814,0.80222871,0.852754761,0.792581897,0.453452512,0.86670071,0.388571429
0.403630216,0.7848004,0.35,0.400643,0.919162765,0.399921571,0.229296355,0.80584958,0.853565754,0.794749531,0.445996862,0.921342798,0.388571429
0.394436667,0.71326671,0.45,0.2009739,0.919162765,0.200073277,0.179851194,0.7347074,0.820386638,0.736027512,0.391183453,0.807771528,0.388571429
0.496645455,0.97568187,1.043,0.201087,0.919162765,0.200212399,0.720915222,1.08143316,0.036927174,0.987755384,0.366615989,0.954696186,0.15
0.479442121,0.79614142,1.9,0.5895299,0.919162765,0.604395873,0.361453479,0.82042354,0.855060271,0.801818633,0.512811502,0.222437921,0.388571429
0.45921,0.75982359,0.55,0.5000685,0.919162765,0.499594849,0.309795473,0.78360066,0.839019521,0.772483949,0.511923172,0.115482261,0.388571429
0.513036407,0.79189429,0.45,0.4017544,0.919162765,0.400126932,0.21339802,0.8123533,0.857486185,0.800947842,0.557230278,0.882061791,0.783333333
0.557453333,0.71130769,2.3,0.5998809,0.919162765,0.600281884,0.27620421,0.7353488,0.81651834,0.732658256,0.619087028,0.045339725,0.388571429
1.72472,1.78495893,1,0.899573,0.776810803,0.900044609,0.874725307,1.64483217,0.741536055,0.777304651,0.804009063,0.747779844,1.665111111
1.10872,1.5521401,0.85,0.9002231,0.771264267,0.900525167,0.864340926,1.50836525,0.53009243,0.557367883,0.923974652,0.388893113,0.933333333
1.11342,1.62094016,0.95,0.09964,0.279183517,0.099793849,0.260851675,1.77542017,0.588888302,0.636646745,0.092249483,0.001062807,0.933333333
1.787126667,1.69382151,1.8,0.79992,0.771264267,0.7999491,0.713128176,1.53402749,0.677902559,0.694411283,0.727673216,0.551445081,1.665111111
1.471693333,1.52229962,1.2,0.6001,0.771264267,0.599567729,0.713132878,1.46469547,0.505598081,0.529311954,0.521688633,0.2052162,1.566666667
1.784,1.44596081,1.75,0.099691,0.771264267,0.099870206,0.763277049,1.50365284,0.397394775,0.450515252,0.944706683,0.923075884,2.1
1.482986667,1.63097595,1.5,0.500252,0.771264267,0.499976353,0.963249168,1.48281716,0.644730619,0.639501303,0.521063536,0.999661385,1.665111111
1.0888,1.61784999,1.2,0.800863,0.776810803,0.799907726,0.83207019,1.57867741,0.572663022,0.616651801,0.941930344,0.292681869,0.933333333
0.957,1.47390117,1.3,0.500219,0.776810803,0.50009423,0.737616789,1.53726934,0.421455867,0.478204447,0.633659999,0.858003087,0.5
1.4949,1.72447662,0.86,0.300293,0.771264267,0.300368904,0.601526873,1.58556898,0.730231344,0.735767735,0.374114692,0.157703841,1.08
1.5295,1.64102049,1.35,0.699822,0.776810803,0.699933163,0.73635657,1.61280188,0.606273236,0.64557101,0.631191332,0.048279228,1.566666667
1.334,1.45842234,1.75,0.400027,0.771264267,0.399533337,0.798402629,1.52025939,0.407241353,0.462238237,0.427919417,0.946043436,1.566666667
1.65938,0.91920489,2.843,0.885594,0.395868797,0.885937839,0.666338768,1.00301927,0.25950281,0.050090084,0.697200017,0.391971558,1.665111111
1.496833333,1.8347946,1.5,0.500041,0.776810803,0.499716744,0.860645063,1.73523532,0.824557293,0.842743553,0.512383262,0.435741847,1.665111111
1.617333333,1.85476148,1.55,0.600173,0.776810803,0.600076783,0.828992068,1.75388812,0.835195274,0.859953612,0.558009471,0.363005535,1.665111111
2.159,1.80943272,2.15,0.497669,0.771264267,0.499678756,0.717646446,1.70668671,0.816594364,0.824185414,0.302350312,0.117357804,2.033333333
1.529833333,1.83074785,1.55,0.500041,0.776810803,0.500597998,0.829094639,1.73044857,0.823551253,0.839939791,0.512383262,0.366044727,1.665111111
1.901,1.82894262,2.15,0.800728,0.776810803,0.800269618,0.713354084,1.72561864,0.826182058,0.840521531,0.787729483,0.107008185,2.033333333
1.790266667,1.79448288,1.6,0.644956,0.771264267,0.720416584,0.677724538,1.69103446,0.810556519,0.812446398,0.864096639,0.029252384,2.033333333
1.8,1.82107446,2.15,0.031016,0.776810803,0.921852837,0.715492206,1.71799435,0.822303098,0.833925987,0.773537074,0.112074011,2.033333333
1.708,1.82195756,1.6,0.799245,0.776810803,0.799754332,0.662875586,1.71746186,0.824325012,0.83561031,0.784959624,0.99639096,2.033333333
3.089,3.51938213,1.765,0.384099,0.559557722,0.155604729,0.996893617,3.60856434,0.173737795,0.431562727,0.954852662,0.653525261,3.166666667
3.435,3.30458704,2.843,0.797576,0.559557722,0.799640244,0.48670893,3.32834667,0.005983509,0.229745207,0.677693543,0.678148071,3.166666667
3.812,3.22117573,2.48,0.09939,0.284730053,0.099545295,0.976532791,3.15623646,0.873966916,0.126102822,0.962981274,0.32226039,4.066666667
3.907,3.46275712,2.1,0.999778,0.559557722,0.99996164,0.305457275,3.51151,0.134702975,0.383668981,0.867885364,0.786098358,3.6
4.06,3.38024757,2.35,0.09963,0.559557722,0.100034309,0.238822343,3.39563682,0.050169672,0.297265554,0.962981274,0.075877545,4.066666667
3.779,3.33958331,2.3,0.00088,0.559557722,0.999751037,0.268870222,3.35673651,0.029546968,0.262836037,0.867885364,0.159208924,4.066666667
2.703,3.20681631,2.143,0.40026,0.559557722,0.400322878,0.578735189,3.23534138,0.955800329,0.146608401,0.346350794,0.897075323,3.166666667
3.241,3.30279095,3.55,0.299973,0.559557722,0.300222513,0.345116924,3.30943023,0.990799607,0.223270627,0.20221399,0.513870762,3.166666667
2.695,3.19639469,2.2,0.300974,0.279183517,0.300067217,0.182847695,3.13751335,0.855704483,0.101732643,0.251254884,0.800304959,2.3
3.484,3.34954627,1.85,0.20011,0.559557722,0.200140601,0.188127392,3.36432236,0.036822432,0.272594094,0.107118079,0.947916898,3.6
